alert_id,alert_timestamp,case_id,alert_type,person_id,related_person_id,severity,explanation,supporting_sources,confidence_score,analyst_status,synthetic_data
SYN-ALT-0024,2026-06-14T21:48:15,CASE-010,VEHICLE_PERSON_LINK,P002,P007,MEDIUM,"Analytical pattern indicator (vehicle person link) detected involving P002 and P007; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|TRANSACTIONS|CDR,0.34,DISMISSED,True
SYN-ALT-0025,2026-08-17T13:53:42,CASE-010,CROSS_CASE_CONNECTION,P008,P014,LOW,"Analytical pattern indicator (cross case connection) detected involving P008 and P014; flagged as an investigative lead, not a conclusion.",CDR,0.56,UNDER_REVIEW,True
SYN-ALT-0026,2026-03-26T09:58:02,CASE-002,MULTI_SOURCE_MATCH,P015,P012,HIGH,"Analytical pattern indicator (multi source match) detected involving P015 and P012; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|INTEL_REPORT|FIR,0.36,UNDER_REVIEW,True
SYN-ALT-0027,2026-02-13T00:36:08,CASE-002,MULTI_SOURCE_MATCH,P006,P013,HIGH,"Analytical pattern indicator (multi source match) detected involving P006 and P013; flagged as an investigative lead, not a conclusion.",FIR|CDR,0.55,UNDER_REVIEW,True
SYN-ALT-0028,2026-08-06T16:03:44,CASE-001,MULTI_SOURCE_MATCH,P006,P015,MEDIUM,"Analytical pattern indicator (multi source match) detected involving P006 and P015; flagged as an investigative lead, not a conclusion.",CDR|LOCATION_RECORDS,0.41,CONFIRMED_PATTERN,True
SYN-ALT-0029,2026-06-23T11:10:57,CASE-009,MULTI_SOURCE_MATCH,P010,P003,MEDIUM,"Analytical pattern indicator (multi source match) detected involving P010 and P003; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS|FIR,0.48,DISMISSED,True
SYN-ALT-0030,2026-03-24T23:48:04,CASE-003,CIRCULAR_TRANSACTION,P015,P010,HIGH,"Analytical pattern indicator (circular transaction) detected involving P015 and P010; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|INTEL_REPORT|CDR,0.41,CONFIRMED_PATTERN,True
SYN-ALT-0031,2026-01-19T19:18:30,CASE-007,NEW_NETWORK_CONNECTION,P014,P008,CRITICAL,"Analytical pattern indicator (new network connection) detected involving P014 and P008; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS,0.81,CONFIRMED_PATTERN,True
SYN-ALT-0032,2026-02-22T11:43:11,CASE-006,TRANSACTION_CHAIN,P015,P009,MEDIUM,"Analytical pattern indicator (transaction chain) detected involving P015 and P009; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|INTEL_REPORT|FIR,0.85,CONFIRMED_PATTERN,True
SYN-ALT-0033,2026-03-10T18:31:27,CASE-010,RAPID_CONTACT_SPIKE,P009,P010,HIGH,"Analytical pattern indicator (rapid contact spike) detected involving P009 and P010; flagged as an investigative lead, not a conclusion.",TRANSACTIONS,0.91,CONFIRMED_PATTERN,True
SYN-ALT-0034,2026-04-11T22:20:13,CASE-007,HIGH_COMMUNICATION_CENTRALITY,P011,P013,LOW,"Analytical pattern indicator (high communication centrality) detected involving P011 and P013; flagged as an investigative lead, not a conclusion.",CDR,0.43,CONFIRMED_PATTERN,True
SYN-ALT-0035,2026-04-19T18:53:08,CASE-010,MULTI_SOURCE_MATCH,P008,P006,HIGH,"Analytical pattern indicator (multi source match) detected involving P008 and P006; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS,0.72,NEW,True
SYN-ALT-0036,2026-08-08T22:33:13,CASE-002,CROSS_CASE_CONNECTION,P011,P012,HIGH,"Analytical pattern indicator (cross case connection) detected involving P011 and P012; flagged as an investigative lead, not a conclusion.",CDR|FIR|INTEL_REPORT,0.84,NEW,True
SYN-ALT-0037,2026-07-31T09:04:46,CASE-004,CROSS_CASE_CONNECTION,P014,P007,HIGH,"Analytical pattern indicator (cross case connection) detected involving P014 and P007; flagged as an investigative lead, not a conclusion.",INTEL_REPORT,0.58,CONFIRMED_PATTERN,True
SYN-ALT-0038,2026-02-09T03:17:36,CASE-002,FREQUENT_CO_LOCATION,P014,P013,MEDIUM,"Analytical pattern indicator (frequent co location) detected involving P014 and P013; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS|FIR,0.89,CONFIRMED_PATTERN,True
SYN-ALT-0039,2026-01-17T20:26:47,CASE-010,FREQUENT_CO_LOCATION,P005,P006,LOW,"Analytical pattern indicator (frequent co location) detected involving P005 and P006; flagged as an investigative lead, not a conclusion.",TRANSACTIONS,0.68,CONFIRMED_PATTERN,True
SYN-ALT-0040,2026-08-31T20:47:58,CASE-007,CROSS_CASE_CONNECTION,P003,P012,MEDIUM,"Analytical pattern indicator (cross case connection) detected involving P003 and P012; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS|TRANSACTIONS,0.84,CONFIRMED_PATTERN,True
SYN-ALT-0041,2026-05-23T20:05:40,CASE-002,TRANSACTION_CHAIN,P010,P015,CRITICAL,"Analytical pattern indicator (transaction chain) detected involving P010 and P015; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|CDR|INTEL_REPORT,0.38,DISMISSED,True
SYN-ALT-0042,2026-05-04T11:51:58,CASE-001,CROSS_CASE_CONNECTION,P008,P003,MEDIUM,"Analytical pattern indicator (cross case connection) detected involving P008 and P003; flagged as an investigative lead, not a conclusion.",CDR|FIR,0.32,NEW,True
SYN-ALT-0043,2026-03-02T07:25:52,CASE-005,TRANSACTION_CHAIN,P003,P006,HIGH,"Analytical pattern indicator (transaction chain) detected involving P003 and P006; flagged as an investigative lead, not a conclusion.",CDR|TRANSACTIONS|INTEL_REPORT,0.5,UNDER_REVIEW,True
SYN-ALT-0044,2026-04-28T16:18:58,CASE-007,RAPID_CONTACT_SPIKE,P003,P009,CRITICAL,"Analytical pattern indicator (rapid contact spike) detected involving P003 and P009; flagged as an investigative lead, not a conclusion.",TRANSACTIONS,0.38,CONFIRMED_PATTERN,True
SYN-ALT-0045,2026-05-09T01:55:27,CASE-006,MULTI_SOURCE_MATCH,P004,P008,CRITICAL,"Analytical pattern indicator (multi source match) detected involving P004 and P008; flagged as an investigative lead, not a conclusion.",FIR,0.84,NEW,True
SYN-ALT-0046,2026-04-10T04:19:29,CASE-010,MULTI_SOURCE_MATCH,P009,P014,LOW,"Analytical pattern indicator (multi source match) detected involving P009 and P014; flagged as an investigative lead, not a conclusion.",FIR,0.39,CONFIRMED_PATTERN,True
SYN-ALT-0047,2026-06-13T16:37:27,CASE-001,VEHICLE_PERSON_LINK,P014,P007,HIGH,"Analytical pattern indicator (vehicle person link) detected involving P014 and P007; flagged as an investigative lead, not a conclusion.",CDR|FIR|INTEL_REPORT,0.5,UNDER_REVIEW,True
SYN-ALT-0048,2026-06-27T10:08:46,CASE-006,FREQUENT_CO_LOCATION,P012,P002,CRITICAL,"Analytical pattern indicator (frequent co location) detected involving P012 and P002; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS|TRANSACTIONS,0.7,NEW,True
SYN-ALT-0049,2026-01-22T14:15:15,CASE-009,VEHICLE_PERSON_LINK,P005,P007,HIGH,"Analytical pattern indicator (vehicle person link) detected involving P005 and P007; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS,0.74,DISMISSED,True
SYN-ALT-0050,2026-02-23T13:59:34,CASE-009,VEHICLE_PERSON_LINK,P013,P009,LOW,"Analytical pattern indicator (vehicle person link) detected involving P013 and P009; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS|INTEL_REPORT|TRANSACTIONS,0.8,CONFIRMED_PATTERN,True
SYN-ALT-0051,2026-07-25T09:56:41,CASE-007,UNUSUAL_TRANSACTION,P012,P004,HIGH,"Analytical pattern indicator (unusual transaction) detected involving P012 and P004; flagged as an investigative lead, not a conclusion.",CDR,0.64,UNDER_REVIEW,True
SYN-ALT-0052,2026-04-07T18:34:56,CASE-009,NEW_NETWORK_CONNECTION,P015,P009,LOW,"Analytical pattern indicator (new network connection) detected involving P015 and P009; flagged as an investigative lead, not a conclusion.",TRANSACTIONS,0.72,DISMISSED,True
SYN-ALT-0053,2026-03-29T12:42:32,CASE-001,CROSS_CASE_CONNECTION,P013,P015,LOW,"Analytical pattern indicator (cross case connection) detected involving P013 and P015; flagged as an investigative lead, not a conclusion.",CDR,0.75,UNDER_REVIEW,True
SYN-ALT-0054,2026-08-12T18:14:02,CASE-003,NEW_NETWORK_CONNECTION,P009,P014,CRITICAL,"Analytical pattern indicator (new network connection) detected involving P009 and P014; flagged as an investigative lead, not a conclusion.",FIR,0.9,CONFIRMED_PATTERN,True
SYN-ALT-0055,2026-07-09T00:53:46,CASE-004,HIGH_COMMUNICATION_CENTRALITY,P014,P013,LOW,"Analytical pattern indicator (high communication centrality) detected involving P014 and P013; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS|FIR|INTEL_REPORT,0.53,UNDER_REVIEW,True
SYN-ALT-0056,2026-01-03T19:13:41,CASE-010,CROSS_CASE_CONNECTION,P008,P003,CRITICAL,"Analytical pattern indicator (cross case connection) detected involving P008 and P003; flagged as an investigative lead, not a conclusion.",FIR|LOCATION_RECORDS|INTEL_REPORT,0.64,UNDER_REVIEW,True
SYN-ALT-0057,2026-07-11T14:56:48,CASE-007,HIGH_COMMUNICATION_CENTRALITY,P006,P009,LOW,"Analytical pattern indicator (high communication centrality) detected involving P006 and P009; flagged as an investigative lead, not a conclusion.",FIR|CDR,0.87,DISMISSED,True
SYN-ALT-0058,2026-06-23T20:05:17,CASE-007,UNUSUAL_TRANSACTION,P002,P011,LOW,"Analytical pattern indicator (unusual transaction) detected involving P002 and P011; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|LOCATION_RECORDS,0.58,DISMISSED,True
SYN-ALT-0059,2026-03-26T09:47:31,CASE-010,CROSS_CASE_CONNECTION,P005,P010,CRITICAL,"Analytical pattern indicator (cross case connection) detected involving P005 and P010; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS|INTEL_REPORT|FIR,0.35,NEW,True
SYN-ALT-0060,2026-03-28T01:45:02,CASE-003,MULTI_SOURCE_MATCH,P006,P013,MEDIUM,"Analytical pattern indicator (multi source match) detected involving P006 and P013; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|TRANSACTIONS|CDR,0.44,NEW,True
SYN-ALT-0061,2026-06-12T12:53:53,CASE-001,NEW_NETWORK_CONNECTION,P005,P006,HIGH,"Analytical pattern indicator (new network connection) detected involving P005 and P006; flagged as an investigative lead, not a conclusion.",FIR,0.87,DISMISSED,True
SYN-ALT-0062,2026-06-30T03:36:32,CASE-010,CROSS_CASE_CONNECTION,P012,P005,HIGH,"Analytical pattern indicator (cross case connection) detected involving P012 and P005; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|INTEL_REPORT|FIR,0.55,NEW,True
SYN-ALT-0063,2026-07-09T15:49:30,CASE-003,RAPID_CONTACT_SPIKE,P010,P006,MEDIUM,"Analytical pattern indicator (rapid contact spike) detected involving P010 and P006; flagged as an investigative lead, not a conclusion.",FIR|CDR|LOCATION_RECORDS,0.44,CONFIRMED_PATTERN,True
SYN-ALT-0064,2026-05-18T04:53:58,CASE-006,CROSS_CASE_CONNECTION,P010,P002,HIGH,"Analytical pattern indicator (cross case connection) detected involving P010 and P002; flagged as an investigative lead, not a conclusion.",FIR,0.54,NEW,True
SYN-ALT-0065,2026-01-09T23:37:23,CASE-006,VEHICLE_PERSON_LINK,P006,P013,LOW,"Analytical pattern indicator (vehicle person link) detected involving P006 and P013; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|FIR,0.59,CONFIRMED_PATTERN,True
SYN-ALT-0066,2026-03-25T18:17:47,CASE-002,CIRCULAR_TRANSACTION,P015,P009,CRITICAL,"Analytical pattern indicator (circular transaction) detected involving P015 and P009; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS,0.63,CONFIRMED_PATTERN,True
SYN-ALT-0067,2026-08-13T07:13:45,CASE-002,FREQUENT_CO_LOCATION,P009,P001,CRITICAL,"Analytical pattern indicator (frequent co location) detected involving P009 and P001; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS|FIR|CDR,0.84,CONFIRMED_PATTERN,True
SYN-ALT-0068,2026-05-23T14:40:33,CASE-001,HIGH_COMMUNICATION_CENTRALITY,P006,P008,LOW,"Analytical pattern indicator (high communication centrality) detected involving P006 and P008; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS|CDR,0.66,UNDER_REVIEW,True
SYN-ALT-0069,2026-05-12T09:09:15,CASE-008,MULTI_SOURCE_MATCH,P012,P009,LOW,"Analytical pattern indicator (multi source match) detected involving P012 and P009; flagged as an investigative lead, not a conclusion.",FIR,0.63,CONFIRMED_PATTERN,True
SYN-ALT-0070,2026-03-11T08:56:17,CASE-002,VEHICLE_PERSON_LINK,P002,P004,HIGH,"Analytical pattern indicator (vehicle person link) detected involving P002 and P004; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|FIR|CDR,0.88,CONFIRMED_PATTERN,True
SYN-ALT-0071,2026-02-02T23:27:50,CASE-005,RAPID_CONTACT_SPIKE,P011,P014,LOW,"Analytical pattern indicator (rapid contact spike) detected involving P011 and P014; flagged as an investigative lead, not a conclusion.",FIR|TRANSACTIONS,0.64,NEW,True
SYN-ALT-0072,2026-06-09T20:12:22,CASE-008,TRANSACTION_CHAIN,P013,P015,HIGH,"Analytical pattern indicator (transaction chain) detected involving P013 and P015; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|INTEL_REPORT,0.57,NEW,True
SYN-ALT-0073,2026-04-10T05:04:30,CASE-009,UNUSUAL_TRANSACTION,P014,P012,CRITICAL,"Analytical pattern indicator (unusual transaction) detected involving P014 and P012; flagged as an investigative lead, not a conclusion.",TRANSACTIONS,0.8,UNDER_REVIEW,True
SYN-ALT-0074,2026-01-24T09:40:25,CASE-010,HIGH_COMMUNICATION_CENTRALITY,P013,P001,CRITICAL,"Analytical pattern indicator (high communication centrality) detected involving P013 and P001; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS|CDR,0.46,UNDER_REVIEW,True
SYN-ALT-0075,2026-02-11T19:27:52,CASE-004,CROSS_CASE_CONNECTION,P002,P009,MEDIUM,"Analytical pattern indicator (cross case connection) detected involving P002 and P009; flagged as an investigative lead, not a conclusion.",TRANSACTIONS,0.44,DISMISSED,True
SYN-ALT-0076,2026-06-06T05:40:45,CASE-007,CROSS_CASE_CONNECTION,P002,P007,CRITICAL,"Analytical pattern indicator (cross case connection) detected involving P002 and P007; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|TRANSACTIONS,0.73,CONFIRMED_PATTERN,True
SYN-ALT-0077,2026-08-06T21:58:31,CASE-003,NEW_NETWORK_CONNECTION,P013,P008,CRITICAL,"Analytical pattern indicator (new network connection) detected involving P013 and P008; flagged as an investigative lead, not a conclusion.",CDR|FIR|TRANSACTIONS,0.37,UNDER_REVIEW,True
SYN-ALT-0078,2026-05-27T14:01:02,CASE-002,VEHICLE_PERSON_LINK,P014,P003,MEDIUM,"Analytical pattern indicator (vehicle person link) detected involving P014 and P003; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|FIR|TRANSACTIONS,0.68,DISMISSED,True
SYN-ALT-0079,2026-05-25T15:35:38,CASE-005,RAPID_CONTACT_SPIKE,P003,P009,MEDIUM,"Analytical pattern indicator (rapid contact spike) detected involving P003 and P009; flagged as an investigative lead, not a conclusion.",CDR|TRANSACTIONS|INTEL_REPORT,0.67,UNDER_REVIEW,True
SYN-ALT-0080,2026-02-25T13:25:08,CASE-007,CIRCULAR_TRANSACTION,P008,P013,MEDIUM,"Analytical pattern indicator (circular transaction) detected involving P008 and P013; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|FIR|LOCATION_RECORDS,0.44,CONFIRMED_PATTERN,True
SYN-ALT-0081,2026-07-01T23:58:30,CASE-002,UNUSUAL_TRANSACTION,P002,P006,LOW,"Analytical pattern indicator (unusual transaction) detected involving P002 and P006; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|INTEL_REPORT,0.55,NEW,True
SYN-ALT-0082,2026-06-10T15:05:07,CASE-001,MULTI_SOURCE_MATCH,P007,P004,HIGH,"Analytical pattern indicator (multi source match) detected involving P007 and P004; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|FIR|INTEL_REPORT,0.9,CONFIRMED_PATTERN,True
SYN-ALT-0083,2026-04-07T22:12:28,CASE-005,CROSS_CASE_CONNECTION,P004,P010,HIGH,"Analytical pattern indicator (cross case connection) detected involving P004 and P010; flagged as an investigative lead, not a conclusion.",CDR,0.76,NEW,True
SYN-ALT-0084,2026-07-23T13:19:28,CASE-001,HIGH_COMMUNICATION_CENTRALITY,P011,P005,CRITICAL,"Analytical pattern indicator (high communication centrality) detected involving P011 and P005; flagged as an investigative lead, not a conclusion.",CDR|FIR|TRANSACTIONS,0.76,CONFIRMED_PATTERN,True
SYN-ALT-0085,2026-01-14T16:38:03,CASE-010,HIGH_COMMUNICATION_CENTRALITY,P015,P011,MEDIUM,"Analytical pattern indicator (high communication centrality) detected involving P015 and P011; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|TRANSACTIONS|LOCATION_RECORDS,0.82,DISMISSED,True
SYN-ALT-0086,2026-05-13T05:32:37,CASE-009,VEHICLE_PERSON_LINK,P010,P005,HIGH,"Analytical pattern indicator (vehicle person link) detected involving P010 and P005; flagged as an investigative lead, not a conclusion.",CDR|LOCATION_RECORDS,0.31,NEW,True
SYN-ALT-0087,2026-07-06T05:51:51,CASE-001,RAPID_CONTACT_SPIKE,P014,P013,LOW,"Analytical pattern indicator (rapid contact spike) detected involving P014 and P013; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|CDR|LOCATION_RECORDS,0.79,NEW,True
SYN-ALT-0088,2026-03-28T01:36:08,CASE-002,FREQUENT_CO_LOCATION,P001,P008,LOW,"Analytical pattern indicator (frequent co location) detected involving P001 and P008; flagged as an investigative lead, not a conclusion.",FIR|TRANSACTIONS|INTEL_REPORT,0.73,NEW,True
SYN-ALT-0089,2026-03-10T10:21:42,CASE-010,MULTI_SOURCE_MATCH,P007,P013,MEDIUM,"Analytical pattern indicator (multi source match) detected involving P007 and P013; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|CDR|INTEL_REPORT,0.44,CONFIRMED_PATTERN,True
SYN-ALT-0090,2026-07-14T07:45:20,CASE-001,VEHICLE_PERSON_LINK,P007,P015,CRITICAL,"Analytical pattern indicator (vehicle person link) detected involving P007 and P015; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|TRANSACTIONS,0.42,CONFIRMED_PATTERN,True
SYN-ALT-0091,2026-06-24T22:28:26,CASE-004,MULTI_SOURCE_MATCH,P001,P014,MEDIUM,"Analytical pattern indicator (multi source match) detected involving P001 and P014; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|TRANSACTIONS,0.49,CONFIRMED_PATTERN,True
SYN-ALT-0092,2026-02-07T17:05:39,CASE-007,NEW_NETWORK_CONNECTION,P010,P004,LOW,"Analytical pattern indicator (new network connection) detected involving P010 and P004; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|CDR|FIR,0.49,NEW,True
SYN-ALT-0093,2026-01-15T06:30:04,CASE-002,RAPID_CONTACT_SPIKE,P001,P015,MEDIUM,"Analytical pattern indicator (rapid contact spike) detected involving P001 and P015; flagged as an investigative lead, not a conclusion.",FIR|CDR|INTEL_REPORT,0.81,UNDER_REVIEW,True
SYN-ALT-0094,2026-05-15T03:35:09,CASE-007,CROSS_CASE_CONNECTION,P010,P007,MEDIUM,"Analytical pattern indicator (cross case connection) detected involving P010 and P007; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS,0.7,CONFIRMED_PATTERN,True
SYN-ALT-0095,2026-01-23T22:51:50,CASE-008,RAPID_CONTACT_SPIKE,P015,P003,HIGH,"Analytical pattern indicator (rapid contact spike) detected involving P015 and P003; flagged as an investigative lead, not a conclusion.",FIR|INTEL_REPORT,0.44,UNDER_REVIEW,True
SYN-ALT-0096,2026-01-01T05:43:06,CASE-010,RAPID_CONTACT_SPIKE,P005,P011,MEDIUM,"Analytical pattern indicator (rapid contact spike) detected involving P005 and P011; flagged as an investigative lead, not a conclusion.",FIR|LOCATION_RECORDS|INTEL_REPORT,0.35,UNDER_REVIEW,True
SYN-ALT-0097,2026-07-30T13:43:24,CASE-003,TRANSACTION_CHAIN,P014,P001,HIGH,"Analytical pattern indicator (transaction chain) detected involving P014 and P001; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|CDR,0.53,UNDER_REVIEW,True
SYN-ALT-0098,2026-06-10T23:20:14,CASE-005,RAPID_CONTACT_SPIKE,P001,P015,HIGH,"Analytical pattern indicator (rapid contact spike) detected involving P001 and P015; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|LOCATION_RECORDS|CDR,0.52,CONFIRMED_PATTERN,True
SYN-ALT-0099,2026-01-02T02:24:47,CASE-005,TRANSACTION_CHAIN,P001,P010,MEDIUM,"Analytical pattern indicator (transaction chain) detected involving P001 and P010; flagged as an investigative lead, not a conclusion.",FIR|INTEL_REPORT|LOCATION_RECORDS,0.35,DISMISSED,True
SYN-ALT-0100,2026-07-14T14:14:43,CASE-008,RAPID_CONTACT_SPIKE,P011,P004,CRITICAL,"Analytical pattern indicator (rapid contact spike) detected involving P011 and P004; flagged as an investigative lead, not a conclusion.",CDR,0.65,NEW,True
